State,TimeStamp,EEG_F3_Alpha,EEG_F3_Beta,EEG_F3_Theta,ECG_Burg,ECG_TimeSeries,ECG_SDNN,PupilDiameter,ECG_SDSD,ECG_RMSSD
1,2015.09.30. 13:43:49,44491.0,4296.8,37301.0,867470.0,1179.7,435.93,4.192033898305085,263.8,464.13
1,2015.09.30. 13:43:50,187850.0,13128.0,45589.0,907670.0,1168.9,442.53,4.24771186440678,263.69,487.6
1,2015.09.30. 13:43:51,105480.0,10293.0,121670.0,1095900.0,1142.7,448.04,4.221016949152543,272.06,483.66
1,2015.09.30. 13:43:52,169310.0,10345.0,108880.0,1014700.0,1141.8,452.78,4.015762711864407,278.83,474.59
1,2015.09.30. 13:43:53,97685.0,7306.0,44452.0,744560.0,1128.1,454.13,4.080508474576271,280.34,458.41
1,2015.09.30. 13:43:54,90228.0,7464.0,41473.0,731600.0,1119.0,455.27,3.9783050847457613,278.43,447.39
1,2015.09.30. 13:43:55,162390.0,8918.3,82513.0,840740.0,1131.5,453.63,3.7699152542372887,277.64,437.27
1,2015.09.30. 13:43:56,107580.0,9584.7,111350.0,887760.0,1141.2,442.78,3.62864406779661,277.7,448.09
1,2015.09.30. 13:43:57,68680.0,8283.9,100040.0,1049900.0,1174.0,419.88,4.1591,335.64,442.96
1,2015.09.30. 13:43:58,104330.0,7194.0,51478.0,1033200.0,1228.8,397.24,4.083644067796611,333.71,493.02
1,2015.09.30. 13:43:59,102870.0,6969.4,92916.0,322310.0,1233.9,401.62,4.054661016949153,336.08,492.68
1,2015.09.30. 13:44:00,179160.0,5032.1,91723.0,417970.0,1237.8,406.38,4.1450000000000005,338.86,483.47
1,2015.09.30. 13:44:01,68227.0,5054.2,41539.0,433920.0,1238.5,397.85,4.084830508474576,333.01,462.52
1,2015.09.30. 13:44:02,103320.0,4639.4,30806.0,647160.0,1230.1,398.39,4.125084745762714,334.98,455.19
1,2015.09.30. 13:44:03,88050.0,4295.7,57105.0,931000.0,1204.0,397.65,3.8924576271186444,336.96,450.24
1,2015.09.30. 13:44:04,74457.0,7982.2,153910.0,834870.0,1209.9,386.05,4.055677966101697,323.5,434.15
1,2015.09.30. 13:44:05,83638.0,4465.9,47100.0,954520.0,1221.6,385.46,4.35548076923077,322.53,434.94
1,2015.09.30. 13:44:06,112070.0,6032.2,43398.0,1358200.0,1199.8,384.18,4.2746666666666675,327.26,434.99
1,2015.09.30. 13:44:07,45154.0,4422.1,17644.0,1398500.0,1215.5,405.0,4.2580508474576275,329.82,451.97
1,2015.09.30. 13:44:08,70448.0,4483.3,67470.0,1421600.0,1212.0,473.31,4.1985416666666655,403.14,468.05
1,2015.09.30. 13:44:09,95461.0,5103.8,38446.0,1375000.0,1208.7,468.95,4.035964912280701,402.07,557.13
1,2015.09.30. 13:44:10,95976.0,4502.5,13340.0,1412100.0,1224.0,465.3,4.256525423728814,403.17,557.07
1,2015.09.30. 13:44:11,104300.0,5564.0,49261.0,1217400.0,1202.1,464.66,4.441694915254238,407.77,554.33
1,2015.09.30. 13:44:12,55636.0,5329.5,79968.0,1312300.0,1201.6,469.17,4.32921875,410.55,545.89
1,2015.09.30. 13:44:13,135030.0,4905.4,44223.0,1428800.0,1199.7,467.5,4.206779661016949,407.09,533.45
1,2015.09.30. 13:44:14,48676.0,4875.1,83715.0,1557400.0,1199.2,466.26,4.4324576271186436,407.56,535.37
1,2015.09.30. 13:44:15,73807.0,10022.0,103800.0,1571200.0,1199.2,473.24,4.386525423728814,413.06,538.46
1,2015.09.30. 13:44:16,76894.0,7401.4,145870.0,1639400.0,1209.4,469.36,4.340000000000001,410.9,541.46
1,2015.09.30. 13:44:17,129400.0,9504.0,34374.0,1463300.0,1221.8,470.27,4.159406779661016,412.18,541.86
1,2015.09.30. 13:44:18,63848.0,5430.6,50247.0,1486700.0,1188.6,468.41,3.9669491525423726,412.2,539.83
1,2015.09.30. 13:44:19,93104.0,6442.5,73505.0,1503000.0,1160.1,468.61,3.9419767441860456,410.61,541.85
1,2015.09.30. 13:44:20,54587.0,7230.7,63845.0,1464000.0,1181.2,475.13,3.915254237288135,412.98,541.72
1,2015.09.30. 13:44:21,85559.0,7339.8,42258.0,1559100.0,1186.5,468.78,3.787033898305085,405.45,534.04
1,2015.09.30. 13:44:22,182400.0,5189.4,93734.0,1351300.0,1208.5,469.18,3.836440677966102,405.03,534.7
1,2015.09.30. 13:44:23,91376.0,6667.8,51572.0,1558600.0,1210.8,470.65,3.9221186440677975,404.62,534.73
1,2015.09.30. 13:44:24,247090.0,6661.3,57267.0,1517900.0,1228.2,471.04,4.335508474576271,404.24,534.75
1,2015.09.30. 13:44:25,81819.0,5710.8,66030.0,1538500.0,1265.5,471.06,4.342881355932204,399.82,534.77
1,2015.09.30. 13:44:26,171450.0,5647.8,76414.0,1457800.0,1287.6,467.22,4.355593220338982,400.52,532.1
1,2015.09.30. 13:44:27,63697.0,4305.3,22629.0,1309700.0,1274.5,475.2,4.328983050847459,404.39,526.56
1,2015.09.30. 13:44:28,55425.0,9526.7,150920.0,1325800.0,1263.2,457.73,4.40719298245614,404.65,542.93
1,2015.09.30. 13:44:29,131360.0,11188.0,33643.0,1521700.0,1239.3,414.12,4.228673469387755,356.66,484.75
1,2015.09.30. 13:44:30,72042.0,7256.9,22121.0,1156900.0,1209.7,414.59,4.146022727272729,353.47,485.53
1,2015.09.30. 13:44:31,35565.0,11010.0,75859.0,1697600.0,1208.0,411.23,4.173389830508475,350.11,493.87
1,2015.09.30. 13:44:32,86702.0,6418.5,64218.0,1673000.0,1229.4,410.26,4.080508474576271,347.87,502.47
1,2015.09.30. 13:44:33,67259.0,6884.5,57718.0,1251000.0,1273.0,408.43,4.094745762711863,343.19,513.58
1,2015.09.30. 13:44:34,47526.0,4124.7,25307.0,1160000.0,1325.5,406.14,4.167966101694917,341.75,521.53
1,2015.09.30. 13:44:35,33362.0,5233.1,62661.0,781460.0,1363.0,432.6,4.281694915254238,346.99,527.69
1,2015.09.30. 13:44:36,112890.0,5147.6,66600.0,617270.0,1362.8,459.87,4.206186440677966,376.83,527.05
1,2015.09.30. 13:44:37,102320.0,7074.6,67878.0,734210.0,1337.0,465.18,4.264454545454544,378.62,574.44
1,2015.09.30. 13:44:38,146310.0,4045.6,53760.0,744690.0,1334.0,470.39,4.153942307692308,376.35,561.17
1,2015.09.30. 13:44:39,110740.0,5042.0,41871.0,1088000.0,1315.7,454.87,4.154661016949153,373.51,549.87
1,2015.09.30. 13:44:40,35475.0,7067.5,67044.0,1420800.0,1316.9,388.93,4.051186440677966,303.5,468.19
1,2015.09.30. 13:44:41,80666.0,5206.7,49866.0,1131500.0,1319.6,390.26,3.7652083333333337,302.54,489.0
1,2015.09.30. 13:44:42,71344.0,5512.9,110730.0,1225200.0,1303.5,389.87,3.9567796610169483,299.22,504.0
1,2015.09.30. 13:44:43,52008.0,5934.1,34465.0,1121300.0,1324.3,421.59,4.089576271186441,291.38,518.59
1,2015.09.30. 13:44:44,181110.0,12039.0,95514.0,1183900.0,1358.5,470.07,4.008220338983052,282.97,521.43
